img_id,blip2,llava,blip2_chars,llava_chars
05_02_0001,this is an aerial view of the building,"The image depicts a cityscape with a large building under construction, surrounded by other buildings. The construction site is located in the middle of the scene, with a large pile of rubble and debris nearby. There are several people scattered throughout the scene, some of them possibly working on the construction site.

In the foreground, there is a truck parked, and a car can be seen further back in the scene. The overall atmosphere suggests a bustling urban environment with ongoing construc",386,500
05_02_0002,"An aerial view of houses in the aftermath of typhoon yolanda, taken from an airplane on may 16, 2013 in bataan, philippines","The image depicts a large, densely populated area with numerous buildings, some of which are in a state of disrepair. The buildings are made of various materials, such as wood and metal. The scene is filled with debris, including broken pieces of wood and metal, scattered throughout the area.

There are several people visible in the image, with some standing near the buildings and others scattered throughout the scene. The people are wearing different types of clothing, with some dressed in casu",386,500
05_02_0003,"a) an earthquake occurred in the region of italy in 2006, killing an estimated 300,000 people b) a powerful earthquake occurred in the region of italy in 2011, killing an estimated 500,000 people c) a powerful earthquake occurred in the region of italy in 2013, killing an estimated 600,000 people d) a powerful earthquake occurred in the region of italy in 2015, killing an estimated 700,000 people","The image depicts a town with a mix of old and new buildings, surrounded by a lush green forest. The town is in the midst of a disaster, with collapsed structures and debris scattered throughout the area. There are several people in the scene, some of whom are standing near the collapsed buildings, while others are located in the foreground.

In the town, there are multiple cars and trucks parked or driving around, with some of them being damaged or involved in the disaster. The vehicles are of",386,499
05_02_0004,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a densely populated urban area with a mix of buildings, including apartment complexes and houses. The city is filled with people, some of whom are walking around, while others are standing or sitting. The streets are busy with various vehicles, including cars, motorcycles, and trucks.

There are several pedestrians visible throughout the scene, with some closer to the foreground and others further back. The buildings are a mix of old and new, with some appearing to be in a stat",386,500
05_02_0005,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a cityscape with a mix of old and new buildings. The buildings are in various states of disrepair, with some appearing to be in the process of being demolished. The city is filled with rubble, and the streets are lined with debris.

There are several people scattered throughout the scene, some of them standing near the buildings, while others are further away. The people are wearing different clothing colors, and their positions vary, with some closer to the foreground and othe",386,500
05_02_0006,this photo was taken from an air,"The image depicts a cityscape with a large number of buildings, some of which are in a state of disrepair. The buildings are made of various materials, such as stone and brick. The city is experiencing a disaster, as evidenced by the collapsed structures and debris scattered throughout the area.

There are several people in the scene, some of whom are standing near the collapsed buildings, while others are scattered throughout the city. The people are wearing different clothing colors, which can",386,500
05_02_0007,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a scene of destruction and chaos, likely due to a natural disaster or an accident. There are numerous people scattered throughout the scene, some of them wearing yellow vests, which could indicate their role as first responders. The people are standing in various positions, some closer to the center of the scene, while others are near the edges.

The area is filled with debris, including a car and a truck, which are both located in the middle of the scene. There are also two bu",386,500
05_02_0008,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a scene of destruction and chaos, likely after a natural disaster or a war. There are numerous people scattered throughout the scene, some of them standing and others sitting or lying down. The people are wearing various clothing colors, and some of them are carrying backpacks.

The area is filled with debris, including a large number of chairs and a few dining tables. The chairs are scattered all over the scene, with some of them being closer to the people and others further a",386,500
05_02_0009,A house is destroyed in a fire in the hills of hollywood,"The image depicts a large, multi-story building that has been severely damaged by a fire. The building is surrounded by trees, and there is a pool nearby. The fire has caused significant destruction, with the building's facade and roof being heavily damaged.

There are several people in the scene, with some standing close to the building and others further away. They appear to be observing the damage or possibly trying to help with the situation.

The building's facade is mostly destroyed, with",386,499
05_02_0010,A house in an urban area with a lot of people and a lot of damage,"The image depicts a cityscape with a mix of residential and commercial buildings. The buildings are in various stages of disrepair, with some appearing to be in the process of being demolished. There are several people scattered throughout the scene, some of whom are standing near the buildings, while others are further away.

In the midst of the destruction, there are a few vehicles visible, including a truck and a car. The truck is located near the center of the scene, while the car is situate",386,500
05_02_0011,"a house that has been destroyed, a car that has been crushed, a small child that has been killed","The image depicts a scene of destruction and disaster, with a large pile of rubble and debris scattered throughout the area. There are several people in the scene, some of them standing in the middle of the rubble, while others are located closer to the edges of the image.

In the midst of the chaos, there are a few vehicles visible, including a truck and a car. The truck is located towards the left side of the image, while the car is situated more towards the center.

The overall scene is a mix",386,500
05_02_0012,"The buildings in the foreground are a hotel, a bank, and a government building. The buildings in the background are a school and a hospital. The buildings in the foreground are a government building and a hotel. The buildings in the background are a school and a hospital.","The image depicts a city street with a large crowd of people gathered in the middle of the scene. The people are standing in various positions, with some closer to the foreground and others further back. The street is surrounded by tall buildings, and there are multiple cars parked or driving along the street.

In the midst of the chaos, there are a few individuals wearing backpacks, which can be seen in different parts of the scene. The overall atmosphere suggests a disaster or emergency situat",386,500
05_02_0013,the area in the middle is a residential area in the town of takamatsu,"The image depicts a disaster-stricken area with a mix of houses, cars, and trucks. The houses are in various states of disrepair, with some appearing to be collapsing. The cars and trucks are scattered throughout the scene, with some appearing to be damaged or destroyed.

There are several people in the area, some of whom are standing near the collapsing houses, while others are scattered throughout the scene. The people are wearing different clothing colors, which adds to the diversity of the s",386,500
05_02_0014,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a mountainous area with a mix of buildings and rubble. The buildings are mostly small and scattered throughout the scene. The rubble is spread across the area, with some piles being larger and more prominent than others.

There are several people visible in the scene, with some standing near the buildings and others scattered throughout the area. A few cars can be seen parked or driving around the buildings, and a truck is also present in the scene.

The overall atmosphere of t",386,500
05_02_0015,a building is destroyed by a tsunami,"The image depicts a cityscape with a large building in the center, which has been partially destroyed by a fire. The fire has spread to other buildings in the area, creating a chaotic scene. There are several people scattered throughout the scene, some of them possibly injured or in distress.

The cityscape is filled with various vehicles, including cars and trucks, which are parked or moving around the area. The streets are lined with buildings, some of which are in the process of being destroy",386,500
05_02_0016,the building is a four story brick and mortar building with a concrete foundation,"The image depicts a city street with a large building in the background, which appears to be under construction or demolition. The street is filled with debris, and there are several people scattered throughout the scene. Some of the people are standing, while others are sitting or lying down.

In the foreground, there is a car parked on the side of the street. The overall scene is quite chaotic, with the combination of the construction site, debris, and people creating a sense of disarray.",386,495
